 
NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=2.7s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=2, priority=65535,icmp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:0e,dl_dst=00:00:00:00:00:08,nw_src=10.0.0.14,nw_dst=10.0.0.8,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:1
 cookie=0x0, duration=1.499s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=1, priority=65535,icmp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:0e,dl_dst=00:00:00:00:00:06,nw_src=10.0.0.14,nw_dst=10.0.0.6,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:1
 cookie=0x0, duration=1.559s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=1, priority=65535,icmp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:0e,dl_dst=00:00:00:00:00:02,nw_src=10.0.0.14,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:1
 cookie=0x0, duration=2.68s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=2, priority=65535,icmp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:0f,dl_dst=00:00:00:00:00:08,nw_src=10.0.0.15,nw_dst=10.0.0.8,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:1
 cookie=0x0, duration=1.703s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=1, priority=65535,icmp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:0d,dl_dst=00:00:00:00:00:05,nw_src=10.0.0.13,nw_dst=10.0.0.5,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:1
 cookie=0x0, duration=4.26s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=4, priority=65535,icmp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:0e,dl_dst=00:00:00:00:00:01,nw_src=10.0.0.14,nw_dst=10.0.0.1,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:1
 cookie=0x0, duration=1.682s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=1, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:06,dl_dst=00:00:00:00:00:0d,nw_src=10.0.0.6,nw_dst=10.0.0.13,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:2
 cookie=0x0, duration=1.19s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=1, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:01,dl_dst=00:00:00:00:00:10,nw_src=10.0.0.1,nw_dst=10.0.0.16,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:2
 cookie=0x0, duration=1.196s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=1, priority=65535,icmp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:10,dl_dst=00:00:00:00:00:01,nw_src=10.0.0.16,nw_dst=10.0.0.1,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:1
 cookie=0x0, duration=1.383s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=1, priority=65535,icmp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:0f,dl_dst=00:00:00:00:00:01,nw_src=10.0.0.15,nw_dst=10.0.0.1,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:1
 cookie=0x0, duration=1.863s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=1, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:07,dl_dst=00:00:00:00:00:0c,nw_src=10.0.0.7,nw_dst=10.0.0.12,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:2
 cookie=0x0, duration=4.083s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=4, priority=65535,icmp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:09,dl_dst=00:00:00:00:00:02,nw_src=10.0.0.9,nw_dst=10.0.0.2,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:1
 cookie=0x0, duration=3.395s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=3, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:05,dl_dst=00:00:00:00:00:0d,nw_src=10.0.0.5,nw_dst=10.0.0.13,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=1.853s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=1, priority=65535,icmp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:0c,dl_dst=00:00:00:00:00:08,nw_src=10.0.0.12,nw_dst=10.0.0.8,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:1
 cookie=0x0, duration=4.32s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=4, priority=65535,icmp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:0c,dl_dst=00:00:00:00:00:01,nw_src=10.0.0.12,nw_dst=10.0.0.1,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:1
 cookie=0x0, duration=3.363s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=3, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:05,dl_dst=00:00:00:00:00:0f,nw_src=10.0.0.5,nw_dst=10.0.0.15,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=3.356s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=3, priority=65535,icmp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:0f,dl_dst=00:00:00:00:00:05,nw_src=10.0.0.15,nw_dst=10.0.0.5,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:1
 cookie=0x0, duration=1.307s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=1, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:06,dl_dst=00:00:00:00:00:0f,nw_src=10.0.0.6,nw_dst=10.0.0.15,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:2
 cookie=0x0, duration=1.107s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=1, priority=65535,icmp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:10,dl_dst=00:00:00:00:00:07,nw_src=10.0.0.16,nw_dst=10.0.0.7,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:1
 cookie=0x0, duration=1.928s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=1, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:03,dl_dst=00:00:00:00:00:0c,nw_src=10.0.0.3,nw_dst=10.0.0.12,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:2
 cookie=0x0, duration=2.722s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=2, priority=65535,icmp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:0d,dl_dst=00:00:00:00:00:08,nw_src=10.0.0.13,nw_dst=10.0.0.8,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:1
 cookie=0x0, duration=2.352s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=2, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:05,dl_dst=00:00:00:00:00:0a,nw_src=10.0.0.5,nw_dst=10.0.0.10,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:2
 cookie=0x0, duration=3.829s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=3, priority=65535,icmp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:0c,dl_dst=00:00:00:00:00:03,nw_src=10.0.0.12,nw_dst=10.0.0.3,nw_tos=0,icmp_type=0,icmp_code=0 actions=output:1
 cookie=0x0, duration=1.765s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=1, priority=65535,icmp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:0d,dl_dst=00:00:00:00:00:01,nw_src=10.0.0.13,nw_dst=10.0.0.1,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:1
 cookie=0x0, duration=3.201s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=3, priority=65535,icmp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:06,dl_dst=00:00:00:00:00:0b,nw_src=10.0.0.6,nw_dst=10.0.0.11,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:2
 cookie=0x0, duration=2.631s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=2, priority=65535,icmp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:09,dl_dst=00:00:00:00:00:02,nw_src=10.0.0.9,nw_dst=10.0.0.2,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:1
 cookie=0x0, duration=1.137s, table=0, n_packets=1, n_bytes=98, idle_timeout=60, idle_age=1, priority=65535,icmp,in_port=2,vlan_tci=0x0000,dl_src=00:00:00:00:00:10,dl_dst=00:00:00:00:00:05,nw_src=10.0.0.16,nw_dst=10.0.0.5,nw_tos=0,icmp_type=8,icmp_code=0 actions=output:1
